allow_message,answer_count,articles_count,avatar_url,avatar_url_template,badge,employments,follower_count,gender,headline,id,is_advertiser,is_blocking,is_followed,is_following,is_org,name,type,url,url_token,user_type
True,1,0,https://pic4.zhimg.com/72b4a4113cc831ca860433582fe4d14b_is.jpg,https://pic4.zhimg.com/72b4a4113cc831ca860433582fe4d14b_{size}.jpg,,,298,-1,计算机,ba71877e8df0f9ff2fbcecf88b711752,False,False,False,False,False,VCZH,people,https://www.zhihu.com/people/vczh,vczh,people
True,6,0,https://pic4.zhimg.com/da8e974dc_is.jpg,https://pic4.zhimg.com/da8e974dc_{size}.jpg,,,6,1,,409b29dbc6ceb228e9d5771f97a596c6,False,False,False,False,False,李默默,people,https://www.zhihu.com/people/leewan-zhi,leewan-zhi,people
True,19,6,https://pic3.zhimg.com/v2-4c189c1393d3f7ba1dd56559f26ffcfa_is.jpg,https://pic3.zhimg.com/v2-4c189c1393d3f7ba1dd56559f26ffcfa_{size}.jpg,,"[{'job': {'id': '', 'type': 'topic', 'url': '', 'name': 'Incoming Summer Analyst', 'avatar_url': 'https://pic4.zhimg.com/e82bab09c_is.jpg'}, 'company': {'id': '', 'type': 'topic', 'url': '', 'name': '某 PE', 'avatar_url': 'https://pic4.zhimg.com/e82bab09c_is.jpg'}}]",441,1,投机倒把,358310de693d94b33af0283a501e9153,False,False,False,False,False,Shard,people,https://www.zhihu.com/people/my-name-undisclosed,my-name-undisclosed,people
True,26,38,https://pic4.zhimg.com/v2-20eb39bfc7c49485bdb942c3554541f1_is.jpg,https://pic4.zhimg.com/v2-20eb39bfc7c49485bdb942c3554541f1_{size}.jpg,,,351,1,自学型市场参与者,8698b5c6e521466e4ea3a8de6d41289d,False,False,False,False,False,赵默水,people,https://www.zhihu.com/people/zhao-mo-shui,zhao-mo-shui,people
True,11,0,https://pic4.zhimg.com/da8e974dc_is.jpg,https://pic4.zhimg.com/da8e974dc_{size}.jpg,,,9,-1,,f93ddce591fad7fae75789ba75df827a,False,False,False,False,False,肥田喜事,people,https://www.zhihu.com/people/fei-tian-xi-shi,fei-tian-xi-shi,people
True,4,0,https://pic2.zhimg.com/v2-42ad4a8e2e27559b878c6dde4a3bb01b_is.jpg,https://pic2.zhimg.com/v2-42ad4a8e2e27559b878c6dde4a3bb01b_{size}.jpg,,,4,1,游戏开发者/发呆/看剧/苟,bd32e8fa1252c5c7d93c0dba1c637013,False,False,False,False,False,qufangliu,people,https://www.zhihu.com/people/qufangliu,qufangliu,people
True,0,0,https://pic4.zhimg.com/e241fb4a809042939863848252788bdb_is.jpg,https://pic4.zhimg.com/e241fb4a809042939863848252788bdb_{size}.jpg,,,0,1,码农,e1bc55d0eb2d529aa230933fd3805cc9,False,False,False,False,False,元冬十三,people,https://www.zhihu.com/people/chun-lin-xiao-qiao-yu-ren-chi,chun-lin-xiao-qiao-yu-ren-chi,people
True,5,0,https://pic2.zhimg.com/bacd91d59_is.jpg,https://pic2.zhimg.com/bacd91d59_{size}.jpg,,,17,1,,2c954336eb75a2fab3f6b96c4f200d62,False,False,False,False,False,晓扉,people,https://www.zhihu.com/people/xiao-fei-85-01,xiao-fei-85-01,people
True,3,0,https://pic4.zhimg.com/da8e974dc_is.jpg,https://pic4.zhimg.com/da8e974dc_{size}.jpg,,,0,-1,机械设计制造及其自动化专业的学生,cf8be199eebc99b4fd64d1e792e4a8aa,False,False,False,False,False,赵笙涛,people,https://www.zhihu.com/people/zhao-sheng-tao-17,zhao-sheng-tao-17,people
True,0,0,https://pic1.zhimg.com/v2-852f31b860c916f8938b47a9f9e930cd_is.jpg,https://pic1.zhimg.com/v2-852f31b860c916f8938b47a9f9e930cd_{size}.jpg,,,6,1,宁静谦逊的生活，往往比纷纷扰扰的追逐成功更让人快乐。,3548eeec26f39b3c6e8b2d9610fcc37a,False,False,False,False,False,贵生,people,https://www.zhihu.com/people/chou-yuan-7,chou-yuan-7,people
True,12,6,https://pic3.zhimg.com/v2-f9c89544b9608fecf1c032a59e96e15b_is.jpg,https://pic3.zhimg.com/v2-f9c89544b9608fecf1c032a59e96e15b_{size}.jpg,,"[{'job': {'id': '', 'type': 'topic', 'url': '', 'name': '飞机结构与外表涂层技术员', 'avatar_url': 'https://pic4.zhimg.com/e82bab09c_is.jpg'}, 'company': {'id': '', 'type': 'topic', 'url': '', 'name': '星城航空城', 'avatar_url': 'https://pic4.zhimg.com/e82bab09c_is.jpg'}}]",127,-1,cool爱新鲜事物觉得古天乐很cool,8f1c064cf193c78dd6c4118874305da8,False,False,False,False,False,荀子要劝学,people,https://www.zhihu.com/people/ren-hao-84-60,ren-hao-84-60,people
True,0,0,https://pic4.zhimg.com/v2-e783b991b2c4cd32d7ff235ee2452d73_is.jpg,https://pic4.zhimg.com/v2-e783b991b2c4cd32d7ff235ee2452d73_{size}.jpg,,,0,-1,计算机科学,c36277015119004432e574227b936ea4,False,False,False,False,False,欢乐,people,https://www.zhihu.com/people/fen-nu-de-xiao-niao-67-46,fen-nu-de-xiao-niao-67-46,people
True,0,0,https://pic4.zhimg.com/da8e974dc_is.jpg,https://pic4.zhimg.com/da8e974dc_{size}.jpg,,,2,0,,bf54c4d35277780f766034ede44180bb,False,False,False,False,False,夏果,people,https://www.zhihu.com/people/chen-xia-ping-71,chen-xia-ping-71,people
True,0,0,https://pic4.zhimg.com/da8e974dc_is.jpg,https://pic4.zhimg.com/da8e974dc_{size}.jpg,,,37,-1,,079615740d61e885140f673e09d45f74,False,False,False,False,False,tusury,people,https://www.zhihu.com/people/tusury,tusury,people
True,9,0,https://pic1.zhimg.com/bfb5e6bae_is.jpg,https://pic1.zhimg.com/bfb5e6bae_{size}.jpg,,,4,1,知乎者也,2c019d5cdf29880c259a576cbc310845,False,False,False,False,False,刘宇,people,https://www.zhihu.com/people/liu-yu-60-80,liu-yu-60-80,people
True,0,0,https://pic1.zhimg.com/v2-587257ad7468a9b424dced97c0b1c336_is.jpg,https://pic1.zhimg.com/v2-587257ad7468a9b424dced97c0b1c336_{size}.jpg,,,0,1,既然选择远方，便只顾风雨兼程。,caca9cdc6221d272a743d9783eb24683,False,False,False,False,False,Harrytsz,people,https://www.zhihu.com/people/tao-si-zhan,tao-si-zhan,people
True,0,0,https://pic4.zhimg.com/da8e974dc_is.jpg,https://pic4.zhimg.com/da8e974dc_{size}.jpg,,,0,-1,python,cab5b0e5ba14db348b4f73007498ff37,False,False,False,False,False,苏青,people,https://www.zhihu.com/people/su-qing-63-67,su-qing-63-67,people
True,62,16,https://pic4.zhimg.com/da8e974dc_is.jpg,https://pic4.zhimg.com/da8e974dc_{size}.jpg,,,320,-1,不说话小心被和谐,07002d55985e4e4b0d5446fc39e382f6,False,False,False,False,False,不说话小心被和谐,people,https://www.zhihu.com/people/bu-shuo-hua-xiao-xin-bei-he-xie,bu-shuo-hua-xiao-xin-bei-he-xie,people
True,0,0,https://pic4.zhimg.com/da8e974dc_is.jpg,https://pic4.zhimg.com/da8e974dc_{size}.jpg,,,0,-1,,09dadf56b17024075ad4625fe7a072eb,False,False,False,False,False,李杰,people,https://www.zhihu.com/people/li-jie-96-72-79,li-jie-96-72-79,people
True,131,13,https://pic2.zhimg.com/45db6a78db7152f24c5038e6c14b950d_is.jpg,https://pic2.zhimg.com/45db6a78db7152f24c5038e6c14b950d_{size}.jpg,,,785,1,Homo Ludens,7fd5e9c9f5e29842c7494317d73a0295,False,False,False,False,False,Loki,people,https://www.zhihu.com/people/loki-52,loki-52,people
True,3,0,https://pic3.zhimg.com/v2-4888f8a3aa9ef039a788a3b42698088e_is.jpg,https://pic3.zhimg.com/v2-4888f8a3aa9ef039a788a3b42698088e_{size}.jpg,,,29,1,,3958277d4e2c28b0a5f50eb9537d6df6,False,False,False,False,False,十雨,people,https://www.zhihu.com/people/chen-sang-20,chen-sang-20,people
